trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
52,False,"{'a': 0.8, 'e': 0.9517215483530664}",20,0,-108.01329894652149,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
53,False,"{'a': 0.8, 'e': 0.9498626523140478}",20,0,-32.61239843289865,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
54,False,"{'a': 0.8, 'e': 0.9479695613221308}",20,0,-83.00723743642652,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.8, 'e': 0.946042343528387}",25,0,-137.65712844304966,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
56,False,"{'a': 0.8, 'e': 0.9440810683124485}",20,0,-127.42494649509122,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
57,False,"{'a': 0.8, 'e': 0.9420858062800114}",25,0,-178.88382514127593,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
58,False,"{'a': 0.8, 'e': 0.9400566292602934}",20,0,-32.83647125913903,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.8, 'e': 0.937993610303448}",30,0,-109.70702919187354,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.9358968236779348}",20,0,-178.18397662240994,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
61,False,"{'a': 0.8, 'e': 0.933766344867846}",20,0,-113.3062621640835,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.8, 'e': 0.9316022505701886}",25,0,-126.42761777847932,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 0.8, 'e': 0.9294046186921237}",25,0,-133.6818881454633,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
64,False,"{'a': 0.8, 'e': 0.9271735283481612}",20,0,-80.00823458013093,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.8, 'e': 0.9249090598573131}",30,11,-69.53024751402164,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 1}",1
66,False,"{'a': 0.8, 'e': 0.9226112947402}",20,0,-31.59832904804543,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.8, 'e': 0.9202803157161181}",30,0,-102.76159884843062,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
68,False,"{'a': 0.8, 'e': 0.9179162067000607}",35,1,-52.88599155743382,"{0: 26, 1: 5, 2: 2, 3: 0, 4: 1}",1
69,False,"{'a': 0.8, 'e': 0.9155190527996969}",35,18,-61.81607794552298,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.8, 'e': 0.9130889403123083}",25,0,-104.87108949076102,"{0: 11, 1: 6, 2: 7, 3: 1, 4: 0}",0
71,False,"{'a': 0.8, 'e': 0.9106259567216819}",20,0,-257.0273671444824,"{0: 7, 1: 1, 2: 6, 3: 2, 4: 4}",0
72,False,"{'a': 0.8, 'e': 0.9081301906949609}",20,6,-115.54808257967818,"{0: 6, 1: 1, 2: 4, 3: 2, 4: 1}",1
